Branch,Department,Division,Item,Qty,Total Price,Total Cost,Total Cost %,Total Profit,Total Profit %
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED WHITE MOCHA LARGE,386.0,118749.37,20001.2,16.84,98748.17,83.16
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED WHITE MOCHA MEDIUM,1512.0,411255.74,67166.05,16.33,344089.69,83.67
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED WHITE MOCHA SMALL,987.0,198670.81,26582.0,13.38,172088.81,86.62
Stories - Bir Hasan,Take Away,COLD BAR SECTION,MATCHA CREAM  FRAPP SMALL,124.0,24400.36,6431.31,26.36,17969.05,73.64
Stories - Bir Hasan,Take Away,COLD BAR SECTION,MATCHA CREAM FRAPP LARGE,85.0,26142.58,6417.86,24.55,19724.72,75.45
Stories - Bir Hasan,Take Away,COLD BAR SECTION,MATCHA CREAM FRAPP MEDIUM,180.0,47568.41,12338.89,25.94,35229.52,74.06
Stories - Bir Hasan,Take Away,COLD BAR SECTION,MOCHA FRAPP LARGE,210.0,63433.78,15814.34,24.93,47619.44,75.07
Stories - Bir Hasan,Take Away,COLD BAR SECTION,MOCHA FRAPP MEDIUM,549.0,149388.71,40080.04,26.83,109308.67,73.17
Stories - Bir Hasan,Take Away,COLD BAR SECTION,MOCHA FRAPP SMALL,260.0,56419.16,15002.05,26.59,41417.11,73.41
Stories - Bir Hasan,Take Away,COLD BAR SECTION,NO WHIPPED CREAM,123.0,0.0,-1089.84,0.0,1089.84,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE 1 SHOT YIRGACHEFFE,1852.0,121809.49,3480.83,2.86,118328.66,97.14
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE 2 SHOT YIRGACHEFFE,1550.0,101295.8,5826.45,5.75,95469.35,94.25
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE 3 SHOT YIRGACHEFFE,249.0,16441.5,1403.99,8.54,15037.51,91.46
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE ALMOND LARGE,153.0,22600.3,8558.44,37.87,14041.86,62.13
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE ALMOND MEDIUM,501.0,60742.46,21796.98,35.88,38945.48,64.12
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE ALMOND SMALL,357.0,34112.78,11094.27,32.52,23018.5,67.48
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE COCONUT LARGE,158.0,16211.69,9125.19,56.29,7086.5,43.71
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE COCONUT MEDIUM,537.0,52650.67,24122.07,45.82,28528.6,54.18
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE COCONUT SMALL,464.0,43389.93,14887.79,34.31,28502.14,65.69
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE LACTOSE FREE LARGE,417.0,0.0,6997.78,0.0,-6997.78,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE LACTOSE FREE MEDIUM,2217.0,0.0,28936.47,0.0,-28936.47,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE LACTOSE FREE SMALL,2013.0,0.0,18767.03,0.0,-18767.03,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SKIMMED MILK LARGE,640.0,0.0,0.0,0.0,0.0,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SKIMMED MILK MEDIUM,2582.0,0.0,0.0,0.0,0.0,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SKIMMED MILK SMALL,1848.0,0.0,0.0,0.0,0.0,100.0
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND LARGE,51.0,8451.65,2829.99,33.48,5621.66,66.52
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND MEDIUM,161.0,21795.8,5955.93,27.33,15839.87,72.67
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND SMALL,134.0,13555.5,4130.92,30.47,9424.57,69.53
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE OAT LARGE,43.0,7207.51,2164.78,30.04,5042.73,69.96
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE OAT MEDIUM,175.0,23245.05,5873.44,25.27,17371.61,74.73
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE OAT SMALL,136.0,13030.36,3803.75,29.19,9226.61,70.81
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE SOYA LARGE,12.0,2059.31,563.85,27.38,1495.46,72.62
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE SOYA MEDIUM,43.0,5920.24,1346.97,22.75,4573.27,77.25
Stories - Bir Hasan,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE SOYA SMALL,52.0,5233.42,1357.42,25.94,3876.01,74.06
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE LARGE,13.0,4150.45,1169.9,28.19,2980.55,71.81
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE MEDIUM,54.0,15694.81,4239.56,27.01,11455.25,72.99
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE SMALL,18.0,4516.63,1127.24,24.96,3389.39,75.04
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SALTED CARAMEL FRAPPE LARGE,59.0,19710.21,6355.07,32.24,13355.14,67.76
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SALTED CARAMEL FRAPPE MEDIUM,117.0,33553.15,11259.07,33.56,22294.09,66.44
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SALTED CARAMEL FRAPPE SMALL,59.0,14352.23,4217.63,29.39,10134.6,70.61
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SIGNATURE ICED CHOCOLATE LARGE,2.0,618.62,210.77,34.07,407.85,65.93
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SIGNATURE ICED CHOCOLATE MEDIUM,9.0,2486.49,785.84,31.6,1700.65,68.4
Stories - Bir Hasan,Take Away,COLD BAR SECTION,SIGNATURE ICED CHOCOLATE SMALL,8.0,1669.67,530.98,31.8,1138.69,68.2
Stories - Bir Hasan,Take Away,COLD BAR SECTION,STRAWBERRY CREAM FRAPP LARGE,109.0,32620.66,8035.95,24.63,24584.71,75.37
Stories - Bir Hasan,Take Away,COLD BAR SECTION,STRAWBERRY CREAM FRAPP MEDIUM,399.0,109091.41,28497.95,26.12,80593.46,73.88
Stories - Bir Hasan,Take Away,COLD BAR SECTION,STRAWBERRY CREAM FRAPP SMALL,498.0,109873.78,26667.85,24.27,83205.94,75.73
Stories - Bir Hasan,Take Away,COLD BAR SECTION,STRAWBERRY DRIZZLE TOPPING,41.0,1355.14,309.01,22.8,1046.12,77.2
Stories - Bir Hasan,Take Away,COLD BAR SECTION,STRAWBERRY SHAKE,2.0,660.66,302.39,45.77,358.27,54.23
Stories - Bir Hasan,Take Away,COLD BAR SECTION,TOFFEENUT CREAM  FRAP LARGE,2.0,700.0,149.48,21.35,550.52,78.65
Stories - Bir Hasan,Take Away,COLD BAR SECTION,TOFFEENUT CREAM  FRAP MEDIUM,6.0,1770.23,404.71,22.86,1365.53,77.14
Stories - Bir Hasan,Take Away,COLD BAR SECTION,TOFFEENUT CREAM  FRAP SMALL,4.0,1070.26,200.97,18.78,869.29,81.22
Stories - Bir Hasan,Take Away,COLD BAR SECTION,TOFFEENUT FRAP LARGE,12.0,4167.57,986.53,23.67,3181.04,76.33
Stories - Bir Hasan,Take Away,COLD BAR SECTION,TOFFEENUT FRAP MEDIUM,32.0,9172.54,2397.5,26.14,6775.04,73.86
Stories - Bir Hasan,Take Away,COLD BAR SECTION,TOFFEENUT FRAP SMALL,12.0,3047.2,714.89,23.46,2332.31,76.54
Stories - Bir Hasan,Take Away,COLD BAR SECTION,VANILLA CREAM FRAPP LARGE,29.0,8841.29,1763.53,19.95,7077.76,80.05
Stories - Bir Hasan,Take Away,COLD BAR SECTION,VANILLA CREAM FRAPP MEDIUM,109.0,28588.11,6377.66,22.31,22210.45,77.69
Stories - Bir Hasan,Take Away,COLD BAR SECTION,VANILLA CREAM FRAPP SMALL,111.0,24297.57,4849.06,19.96,19448.51,80.04
Stories - Bir Hasan,Take Away,COLD BAR SECTION,VANILLA FRAP SMALL,83.0,19339.97,4400.42,22.75,14939.55,77.25
Stories - Bir Hasan,Take Away,COLD BAR SECTION,VANILLA FRAPP LARGE,13.0,3961.38,887.66,22.41,3073.72,77.59
Stories - Bir Hasan,Take Away,COLD BAR SECTION,VANILLA FRAPP MEDIUM,98.0,25877.96,6466.13,24.99,19411.83,75.01
Stories - Bir Hasan,Take Away,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP LARGE,23.0,7002.49,1367.17,19.52,5635.33,80.48
Stories - Bir Hasan,Take Away,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP MEDIUM,48.0,12711.11,2742.77,21.58,9968.34,78.42
Stories - Bir Hasan,Take Away,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP SMALL,33.0,7293.24,1411.48,19.35,5881.76,80.65
Stories - Bir Hasan,Take Away,COLD BAR SECTION,WHITE MOCHA FRAPP LARGE,119.0,36458.59,7962.56,21.84,28496.03,78.16
Stories - Bir Hasan,Take Away,COLD BAR SECTION,WHITE MOCHA FRAPP MEDIUM,300.0,79584.14,19383.42,24.36,60200.73,75.64
Stories - Bir Hasan,Take Away,COLD BAR SECTION,WHITE MOCHA FRAPP SMALL,210.0,47929.82,10941.86,22.83,36987.96,77.17
Stories - Bir Hasan,Take Away,COLD BAR SECTION,Total By Division:,65488.5,788189.98,1783592.96,22.63,6098306.87,77.37
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,APPLE JUICE,80.0,13429.43,5237.23,39.0,8192.2,61.0
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,LEMON JUICE,143.0,24129.28,10605.69,43.95,13523.59,56.05
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,MAWARDI JUICE,68.0,11481.08,4451.64,38.77,7029.44,61.23
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,ORANGE JUICE,364.0,61346.7,23829.38,38.84,37517.32,61.16
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,POMEGRANATE JUICE,87.0,14606.76,8360.35,57.24,6246.4,42.76
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,RIM SPARKLING WATER-250 ML,558.0,36434.92,11748.2,32.24,24686.72,67.76
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,SAN BENEDETTO CLEMENTINE 330ML/24,220.0,36916.07,9467.48,25.65,27448.59,74.35
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,SAN BENEDETTO GLASS 250ML/24,1523.0,206777.9,62095.2,30.03,144682.7,69.97
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,SAN BENEDETTO LEMON 330ML/24,173.0,29067.72,7444.88,25.61,21622.84,74.39
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,WATER,12540.0,467800.89,57476.05,12.29,410324.84,87.71
Stories - Bir Hasan,Take Away,GRAB&GO BEVERAGES,Total By Division:,15756.0,901990.73,200716.09,22.25,701274.64,77.75
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD BOMBAY CHAI TEA BAG,6.0,200.0,130.18,65.09,69.82,34.91
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD EARL GREY LAVENDER  BAG,10.0,350.75,176.29,50.26,174.46,49.74
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD ENGLISH BREAKFAST TEA BAG,6.0,217.42,105.77,48.65,111.64,51.35
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD GOLDEN CHAMOMILE HERBAL TEA BAG,10.0,333.33,176.29,52.89,157.05,47.11
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD GREEN TEA BAG,6.0,200.0,105.77,52.89,94.23,47.11
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD LEMONGRASS&ORANGE TEA BAG,1.0,42.04,17.63,41.93,24.41,58.07
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD MEDITERRANEAN CARAMEL TEA BAG,1.0,33.33,17.63,52.89,15.7,47.11
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD SOUTHERN MINT HERBAL TEA BAG,9.0,300.0,162.06,54.02,137.94,45.98
Stories - Bir Hasan,Take Away,HOT BAR SECTION,ADD SWEET GINGER PEACH BLACK  TEA BAG,13.0,450.75,229.17,50.84,221.58,49.16
Stories - Bir Hasan,Take Away,HOT BAR SECTION,AMERICANO LARGE,208.0,55063.92,11685.59,21.22,43378.33,78.78
Stories - Bir Hasan,Take Away,HOT BAR SECTION,AMERICANO MEDIUM,528.0,122009.59,24283.21,19.9,97726.39,80.1
Stories - Bir Hasan,Take Away,HOT BAR SECTION,AMERICANO SMALL,714.0,138788.41,24909.93,17.95,113878.48,82.05
Stories - Bir Hasan,Take Away,HOT BAR SECTION,BLACK COFFEE LARGE,74.0,17136.64,5769.51,33.67,11367.13,66.33
Stories - Bir Hasan,Take Away,HOT BAR SECTION,BLACK COFFEE MEDIUM,259.0,52600.0,16732.34,31.81,35867.66,68.19
Stories - Bir Hasan,Take Away,HOT BAR SECTION,BLACK COFFEE SMALL,731.0,119364.41,37841.49,31.7,81522.92,68.3
Stories - Bir Hasan,Take Away,HOT BAR SECTION,BOMBAY CHAI BLACK TEA MEDIUM,40.0,5833.33,1644.26,28.19,4189.08,71.81
Stories - Bir Hasan,Take Away,HOT BAR SECTION,CAPPUCCINO LARGE,163.0,45623.9,10870.86,23.83,34753.04,76.17
