Level,Name,Branch,Division,Group,Qty,Total Amount
Group,CINNAMONS,Stories Centro Mall,CINNAMON ROLLS,CINNAMONS,4786,1322602.11
Division,CINNAMON ROLLS,Stories Centro Mall,CINNAMON ROLLS,CINNAMONS,4786,1322602.11
Group,NOT USED,Stories Centro Mall,NOT USED,NOT USED,1368,316939.64
Division,NOT USED,Stories Centro Mall,NOT USED,NOT USED,1368,316939.64
Group,ADD ONS,Stories Centro Mall,SUBS,ADD ONS,19,1933.33
Division,SUBS,Stories Centro Mall,SUBS,ADD ONS,19,1933.33
Group,PACKAGED FOOD,Stories Centro Mall,GRAB&GO FOOD,PACKAGED FOOD,1248,172019.22
Group,PACKAGED DESSERT,Stories Centro Mall,GRAB&GO FOOD,PACKAGED DESSERT,209,76675.68
Division,GRAB&GO FOOD,Stories Centro Mall,GRAB&GO FOOD,PACKAGED DESSERT,1457,248694.89
Group,DONUTS,Stories Centro Mall,DONUTS,DONUTS,1452,290380.18
Division,DONUTS,Stories Centro Mall,DONUTS,DONUTS,1452,290380.18
Branch,Stories Centro Mall,Stories Centro Mall,DONUTS,DONUTS,262936.6,34231597.91
Group,BLACK COFFEE,Stories LAU,HOT BAR SECTION,BLACK COFFEE,2576,464760.71
Group,MIXED HOT BEVERAGE,Stories LAU,HOT BAR SECTION,MIXED HOT BEVERAGE,9220,2034513.16
Group,TEA,Stories LAU,HOT BAR SECTION,TEA,690,85049.1
Group,BEANS,Stories LAU,HOT BAR SECTION,BEANS,12,5977.18
Division,HOT BAR SECTION,Stories LAU,HOT BAR SECTION,BEANS,12498,2590300.15
Group,MIXED COLD BEVERAGES,Stories LAU,COLD BAR SECTION,MIXED COLD BEVERAGES,11047,2532636.07
Group,BLENDED BRINKS,Stories LAU,COLD BAR SECTION,BLENDED BRINKS,5884,1497294.69
Group,ICE TEA,Stories LAU,COLD BAR SECTION,ICE TEA,423,61381.26
Group,ADD SYRUP,Stories LAU,COLD BAR SECTION,ADD SYRUP,10756,317189.94
Group,REPLACE,Stories LAU,COLD BAR SECTION,REPLACE,6376,183583.17
Division,COLD BAR SECTION,Stories LAU,COLD BAR SECTION,REPLACE,34486,4592085.14
Group,SOFT DRINKS,Stories LAU,GRAB&GO BEVERAGES,SOFT DRINKS,11446,589897.71
Division,GRAB&GO BEVERAGES,Stories LAU,GRAB&GO BEVERAGES,SOFT DRINKS,11446,589897.71
Group,COFFEE PASTRY,Stories LAU,COFFEE PASTRY,COFFEE PASTRY,1198,305313.45
Division,COFFEE PASTRY,Stories LAU,COFFEE PASTRY,COFFEE PASTRY,1198,305313.45
Group,CROISSANT,Stories LAU,CROISSANT,CROISSANT,1078,222044.39
Division,CROISSANT,Stories LAU,CROISSANT,CROISSANT,1078,222044.39
Group,COOKIES,Stories LAU,COOKIES,COOKIES,308,100991.29
Division,COOKIES,Stories LAU,COOKIES,COOKIES,308,100991.29
Group,FRENCH PASTRY,Stories LAU,FRENCH PASTRY,FRENCH PASTRY,378,122280.21
Division,FRENCH PASTRY,Stories LAU,FRENCH PASTRY,FRENCH PASTRY,378,122280.21
Group,COMBO TOPPINGS,Stories LAU,FROZEN YOGHURT,COMBO TOPPINGS,45132,0
Group,TOPPINGS,Stories LAU,FROZEN YOGHURT,TOPPINGS,1867,131156.52
Group,LUXURY TOPPINGS,Stories LAU,FROZEN YOGHURT,LUXURY TOPPINGS,2550,263266.28
Group,FROZEN YOGHURT,Stories LAU,FROZEN YOGHURT,FROZEN YOGHURT,14093.15,4864383.21
Group,SPECIALTY YOGHURT,Stories LAU,FROZEN YOGHURT,SPECIALTY YOGHURT,27.5,4150
Division,FROZEN YOGHURT,Stories LAU,FROZEN YOGHURT,SPECIALTY YOGHURT,63669.65,5262956.01
Group,PLAT DU JOUR,Stories LAU,PLAT DE JOUR,PLAT DU JOUR,34,21441.44
Division,PLAT DE JOUR,Stories LAU,PLAT DE JOUR,PLAT DU JOUR,34,21441.44
Group,SUB SANDWICHES,Stories LAU,SANDWICHES,SUB SANDWICHES,3814,990743.54
Division,SANDWICHES,Stories LAU,SANDWICHES,SUB SANDWICHES,3814,990743.54
Group,CINNAMONS,Stories LAU,CINNAMON ROLLS,CINNAMONS,1687,417534.33
Division,CINNAMON ROLLS,Stories LAU,CINNAMON ROLLS,CINNAMONS,1687,417534.33
Group,PACKAGING,Stories LAU,CARTON,PACKAGING,1428,0
Division,CARTON,Stories LAU,CARTON,PACKAGING,1428,0
Group,NOT USED,Stories LAU,NOT USED,NOT USED,902,125445.06
Division,NOT USED,Stories LAU,NOT USED,NOT USED,902,125445.06
Group,ADD ONS,Stories LAU,SUBS,ADD ONS,521,61704.87
Division,SUBS,Stories LAU,SUBS,ADD ONS,521,61704.87
Group,PACKAGED FOOD,Stories LAU,GRAB&GO FOOD,PACKAGED FOOD,469,61224.92
Group,SALADS,Stories LAU,GRAB&GO FOOD,SALADS,207,95124.74
Group,PACKAGED DESSERT,Stories LAU,GRAB&GO FOOD,PACKAGED DESSERT,52,18486.49
Division,GRAB&GO FOOD,Stories LAU,GRAB&GO FOOD,PACKAGED DESSERT,728,174836.16
Group,DONUTS,Stories LAU,DONUTS,DONUTS,360,73520
Division,DONUTS,Stories LAU,DONUTS,DONUTS,360,73520
Branch,Stories LAU,Stories LAU,DONUTS,DONUTS,134535.65,15651093.74
Group,BLACK COFFEE,Stories Faqra,HOT BAR SECTION,BLACK COFFEE,2383,452167.21
